"קוד עיר","שם עיר","קוד רחוב","שם רחוב"
"171","פרדסיה","9","הורד"
"171","פרדסיה","46","סמטת הדרור"
"171","פרדסיה","47","שביל הארז"
"171","פרדסיה","45","החרצית"
"171","פרדסיה","103559","סיגליות"
"171","פרדסיה","104030","החמנית"
"171","פרדסיה","103787","לוטם"
"171","פרדסיה","44","סמטת השחף"
"171","פרדסיה","105501","סיגלית"
"171","פרדסיה","105340","מרווה"
"173","גבעת חיים מאוחד","101032","ללא רחוב"
"174","נטעים","100987","ללא רחוב"
"175","אביחיל","9","העצמאות"
"175","אביחיל","10","הפלמ""ח"
"175","אביחיל","11","עין העובד"
"175","אביחיל","12","צה""ל"
"175","אביחיל","16","הרותם"
"175","אביחיל","14","הפרדס"
"175","אביחיל","15","ללא רחוב"
"175","אביחיל","1","הבנים"
"175","אביחיל","2","הגדוד העברי"
"175","אביחיל","3","הדקל"
"175","אביחיל","4","ההגנה"
"175","אביחיל","5","השומר"
"175","אביחיל","6","לוחמי גליפולי"
"175","אביחיל","7","תל חי"
"175","אביחיל","13","שדרות בן צבי"
"175","אביחיל","8","ההדרים"
"176","אפיקים","104021","הסחלב"
"176","אפיקים","100859","ללא רחוב"
"177","כפר ביל""ו","24","המחרשה"
"177","כפר ביל""ו","9","הדבש"
"177","כפר ביל""ו","11","הפעמון"
"177","כפר ביל""ו","1","הגבעה"
"177","כפר ביל""ו","2","ההדרים"
"177","כפר ביל""ו","3","סמטת החיטה"
"177","כפר ביל""ו","4","דרך הפרדסים"
"177","כפר ביל""ו","5","המייסדים"
"177","כפר ביל""ו","20","חבורת הדרום"
"177","כפר ביל""ו","21","המורשה"
"177","כפר ביל""ו","22","ללא רחוב"
"177","כפר ביל""ו","12","הפרחים"
"177","כפר ביל""ו","13","סמטת השעורה"
"177","כפר ביל""ו","14","סמטת הרימון"
"177","כפר ביל""ו","15","התלמים"
"177","כפר ביל""ו","16","הפקאן"
"177","כפר ביל""ו","17","סמטת הגפן"
"177","כפר ביל""ו","18","סמטת התמר"
"177","כפר ביל""ו","19","התאנה"
"177","כפר ביל""ו","10","הזית"
"177","כפר ביל""ו","23","סמטת הדקל"
"178","רמת יוחנן","101298","ללא רחוב"
"180","כפר אז""ר","1","בן גוריון"
"180","כפר אז""ר","2","ההגנה"
"180","כפר אז""ר","3","היובל"
"180","כפר אז""ר","4","הנח""ל"
"180","כפר אז""ר","5","העצמאות"
"180","כפר אז""ר","6","הפלמ""ח"
"180","כפר אז""ר","7","השומר"
"180","כפר אז""ר","8","פלי""ם"
"180","כפר אז""ר","9","צה""ל"
"180","כפר אז""ר","10","שמר"
"180","כפר אז""ר","11","תל חי"
"180","כפר אז""ר","13","הא באייר"
"180","כפר אז""ר","12","שיכון הבנים"
"182","אבן יהודה","105603","סמ יעקובי"
"182","אבן יהודה","315","בושמת"
"182","אבן יהודה","211","גבעונית"
"182","אבן יהודה","213","דודאים"
"182","אבן יהודה","246","דניאל"
"182","אבן יהודה","170","דרך בין השדות"
"182","אבן יהודה","220","הדליות"
"182","אבן יהודה","221","הורד"
"182","אבן יהודה","260","היצירה"
"182","אבן יהודה","10","האורן"
"182","אבן יהודה","11","האיזמרגד"
"182","אבן יהודה","12","האירוסים"
"182","אבן יהודה","13","האלה"
"182","אבן יהודה","14","האלון"
"182","אבן יהודה","15","האשל"
"182","אבן יהודה","16","הבאר"
"182","אבן יהודה","17","הבנים"
"182","אבן יהודה","18","הברוש"
"182","אבן יהודה","19","הגבעה"
"182","אבן יהודה","20","הגולן"
"182","אבן יהודה","21","הגליל"
"182","אבן יהודה","22","הגפן"
"182","אבן יהודה","23","הגת"
"182","אבן יהודה","24","הדס"
"182","אבן יהודה","25","הדקל"
"182","אבן יהודה","104231","התקומה"
"182","אבן יהודה","104365","שומשום"
"182","אבן יהודה","100184","זוויתן"
"182","אבן יהודה","104960","האתרוג"
"182","אבן יהודה","103573","ספיר"
"182","אבן יהודה","26","ההדרים"
"182","אבן יהודה","27","ההסתדרות"
"182","אבן יהודה","28","ההרדופים"
"182","אבן יהודה","29","הזית"
"182","אבן יהודה","30","החרוב"
"182","אבן יהודה","31","היבולים"
"182","אבן יהודה","32","היונה"
"182","אבן יהודה","33","היסמין"
"182","אבן יהודה","34","הלבונה"
"182","אבן יהודה","35","הלוחמים"
"182","אבן יהודה","95","בן גוריון"
"182","אבן יהודה","97","סמטת הורדים"
"182","אבן יהודה","103341","דרך רבין"
"182","אבן יהודה","100090","תות"
"182","אבן יהודה","107","הסייפן"
"182","אבן יהודה","105604","עליה"
"182","אבן יהודה","245","הסוף"
"182","אבן יהודה","225","הפרגים"
"182","אבן יהודה","251","הרותם"
"182","אבן יהודה","243","השושן"
"182","אבן יהודה","193","התעשיה"
"182","אבן יהודה","255","לוע הארי"
"182","אבן יהודה","307","לילך"
"182","אבן יהודה","371","מורן"
"182","אבן יהודה","259","נחל אל-על"
"182","אבן יהודה","261","נחל פולג"
"182","אבן יהודה","381","סמ יערה"
"182","אבן יהודה","200","סמטת ברקן"
"182","אבן יהודה","212","סמטת גומא"
"182","אבן יהודה","262","סמטת דן"
"182","אבן יהודה","231","צבעוני"
"182","אבן יהודה","206","אביבית"
"182","אבן יהודה","310","אחוזת מישרים"
"182","אבן יהודה","257","צה""ל"
"182","אבן יהודה","233","ציפורן"
"182","אבן יהודה","244","קחון"
"182","אבן יהודה","239","שן הארי"
"182","אבן יהודה","256","תדהר"
"182","אבן יהודה","105598","הנגב"
"182","אבן יהודה","105599","השומר"
"182","אבן יהודה","105600","חבצלת השרון"
"182","אבן יהודה","105601","סמ הקולנוע"
"182","אבן יהודה","105602","סמ השישה"
"182","אבן יהודה","94","הסביון"
"182","אבן יהודה","111","הדסים מוסד חינוכי"
"182","אבן יהודה","72","סומסום"
"182","אבן יהודה","73","סיני"
"182","אבן יהודה","74","סנונית"
"182","אבן יהודה","75","עגור"
"182","אבן יהודה","76","עממי"
"182","אבן יהודה","77","עפרוני"
"182","אבן יהודה","78","עציון"
"182","אבן יהודה","57","התומר"
"182","אבן יהודה","58","התפוז"
"182","אבן יהודה","59","ותיקים"
"182","אבן יהודה","60","חן"
"182","אבן יהודה","61","חצב"
"182","אבן יהודה","62","חרצית"
"182","אבן יהודה","63","כלנית"
"182","אבן יהודה","64","כרכום"
"182","אבן יהודה","65","לוטוס"
"182","אבן יהודה","66","לילד"
"182","אבן יהודה","67","מכבי"
"182","אבן יהודה","68","מעלה הארגמן"
"182","אבן יהודה","69","מעלה הרתמים"
"182","אבן יהודה","70","מרבד הקסמים"
"182","אבן יהודה","71","נרקיסים"
"182","אבן יהודה","79","צאלון"
"182","אבן יהודה","80","צבר"
"182","אבן יהודה","81","קיבוץ גלויות"
"182","אבן יהודה","82","קרן היסוד"
"182","אבן יהודה","83","רימון"
"182","אבן יהודה","84","רמת היובל"
"182","אבן יהודה","85","רקפות"
"182","אבן יהודה","86","שבזי"
"182","אבן יהודה","87","שביל הנוטע"
"182","אבן יהודה","88","שחף"
"182","אבן יהודה","89","שיזף"
"182","אבן יהודה","90","שלדג"
"182","אבן יהודה","91","שקד"
"182","אבן יהודה","92","תל צור"
"182","אבן יהודה","109","הדולב"
"182","אבן יהודה","110","אגוז"
"182","אבן יהודה","36","המחתרת"
"182","אבן יהודה","37","המייסדים"
"182","אבן יהודה","38","המעפילים"
"182","אבן יהודה","39","המרגנית"
"182","אבן יהודה","40","המתמיד"
"182","אבן יהודה","96","יערה"
"182","אבן יהודה","98","אלמוגן"
"182","אבן יהודה","112","סתוונית"
"182","אבן יהודה","113","הדובדבן"
"182","אבן יהודה","103399","הברקת"
"182","אבן יהודה","104179","שוהם"
"182","אבן יהודה","103861","השלהבת"
"182","אבן יהודה","102968","החבצלת"
"182","אבן יהודה","103128","שדמה"
"182","אבן יהודה","102909","מרווה"
"182","אבן יהודה","1","אדם"
"182","אבן יהודה","2","אהבת ציון"
"182","אבן יהודה","3","איילת השחר"
"182","אבן יהודה","4","אנפה"
"182","אבן יהודה","5","אסותא"
"182","אבן יהודה","6","באר גנים"
"182","אבן יהודה","7","בית שואבה"
"182","אבן יהודה","8","בני בנימין"
"182","אבן יהודה","9","דפנה"
"182","אבן יהודה","132","תירוש"
"182","אבן יהודה","126","קינמון"
"182","אבן יהודה","127","הסהרון"
"182","אבן יהודה","136","אירוס הארגמן"
"182","אבן יהודה","124","סמטת האלה"
"182","אבן יהודה","125","אודם"
"182","אבן יהודה","106","נורית"
"182","אבן יהודה","99","אילנות"
"182","אבן יהודה","100","הגור"
"182","אבן יהודה","101","הדרור"
"182","אבן יהודה","102","העדעד"
"182","אבן יהודה","103","מעלה לבונה"
"182","אבן יהודה","104","נופר"
"182","אבן יהודה","105","סמ' השושנה"
"182","אבן יהודה","143","החמנית"
"182","אבן יהודה","128","אגמון"
"182","אבן יהודה","145","שנהב"
"182","אבן יהודה","121","אמנון ותמר"
"182","אבן יהודה","123","האגס"
"182","אבן יהודה","135","האוכמניות"
"182","אבן יהודה","129","הפטל"
"182","אבן יהודה","133","הסחלב"
"182","אבן יהודה","114","האדמונית"
"182","אבן יהודה","130","השיטה"
"182","אבן יהודה","117","הפעמונית"
"182","אבן יהודה","150","החלמונית"
"182","אבן יהודה","119","לוטן"
"182","אבן יהודה","120","לותם"
"182","אבן יהודה","134","עופרית"
"182","אבן יהודה","147","תורמוס"
"182","אבן יהודה","149","נר הלילה"
"182","אבן יהודה","148","סמטת עופרית"
"182","אבן יהודה","137","סמ' הניצנים"
"182","אבן יהודה","139","סמטת החרמון"
"182","אבן יהודה","142","צורית"
"182","אבן יהודה","140","רוזמרין"
"182","אבן יהודה","116","הברקן"
"182","אבן יהודה","141","הקקטוס"
"182","אבן יהודה","138","הדגן"
"182","אבן יהודה","115","ללא רחוב"
"182","אבן יהודה","144","ריחן"
"182","אבן יהודה","46","הערבה"
"182","אבן יהודה","47","הפלמ""ח"
"182","אבן יהודה","48","הקשת"
"182","אבן יהודה","49","הרימונים"
"182","אבן יהודה","50","השומרון"
"182","אבן יהודה","51","השיח"
"182","אבן יהודה","52","השלום"
"182","אבן יהודה","53","השלושה"
"182","אבן יהודה","54","השקמה"
"182","אבן יהודה","55","השרון"
"182","אבן יהודה","56","התאנה"
"182","אבן יהודה","108","כליל החורש"
"182","אבן יהודה","131","תפוח"
"182","אבן יהודה","146","דן"
"182","אבן יהודה","151","עירית"
"182","אבן יהודה","118","המעיין"
"182","אבן יהודה","122","מנטה"
"182","אבן יהודה","41","הנוטע"
"182","אבן יהודה","42","הנוטר"
"182","אבן יהודה","43","הנורית"
"182","אבן יהודה","44","הניצן"
"182","אבן יהודה","45","העצמאות"
"182","אבן יהודה","93","הארז"
"183","ירקונה","9","דרך הפקאן"
"183","ירקונה","7","ללא רחוב"
"183","ירקונה","10","מיסדיי ירקונה"
"183","ירקונה","11","דרך רמתיים"
"183","ירקונה","2","הברוש"
"183","ירקונה","3","האלה"
"183","ירקונה","4","צאלון"
"183","ירקונה","8","הדקל"
"183","ירקונה","5","הערבה"
"183","ירקונה","6","איילה"
"183","ירקונה","1","הפרדס"
"184","רמת הכובש","100813","ללא רחוב"
"186","נעורים","100515","ללא רחוב"
"187","כפר הס","100325","ללא רחוב"
"188","אשדות יעקב מאוחד","100314","ללא רחוב"
"189","כפר פינס","100646","ללא רחוב"
"190","כפר ויתקין","1","בית אהרון"
"190","כפר ויתקין","2","דרך החול"
"190","כפר ויתקין","3","דרך הכפר"
"190","כפר ויתקין","4","דרך מול הים"
"190","כפר ויתקין","5","הבאר"
"190","כפר ויתקין","6","הדוגית"
"190","כפר ויתקין","7","הזנב"
"190","כפר ויתקין","8","המזח"
"190","כפר ויתקין","9","המחלבה"
"190","כפר ויתקין","10","המפרש"
"190","כפר ויתקין","11","הסירה"
"190","כפר ויתקין","12","העוגן"
"190","כפר ויתקין","13","הקונכיה"
"190","כפר ויתקין","14","לגונה"
"190","כפר ויתקין","24","סמטת המרפאה"
"190","כפר ויתקין","17","משעול הפרדסים"
"190","כפר ויתקין","22","שונית"
"190","כפר ויתקין","23","המגדלור"
"190","כפר ויתקין","20","ללא רחוב"
"190","כפר ויתקין","21","הדואר"
"190","כפר ויתקין","15","משעול הפרדס"
"190","כפר ויתקין","16","הצדף"
"190","כפר ויתקין","18","הסיפון"
"190","כפר ויתקין","19","סמ' כ""ג"
"190","כפר ויתקין","103006","השיטה"
"191","הדר עם","8","נבטים"
"191","הדר עם","9","הראשונים"
"191","הדר עם","7","הנוטע"
"191","הדר עם","5","היובל"
"191","הדר עם","10","הקטיף"
"191","הדר עם","6","הקציר"
"191","הדר עם","4","ללא רחוב"
"191","הדר עם","1","דרך ההדרים"
"191","הדר עם","2","האסיף"
"191","הדר עם","3","ההולנדים"
"191","הדר עם","103931","זו הדרך"
"191","הדר עם","104483","שדרת הכפר"
"192","כפר החורש","101333","ללא רחוב"
"193","כפר חיים","100737","ללא רחוב"
"194","משמר השרון","100736","ללא רחוב"
"195","קדימה","258","השיבולת"
"195","קדימה","259","הכרכום"
"195","קדימה","250","הפרדס"
"195","קדימה","237","סמ מדיני מאיר"
"195","קדימה","238","טיילת השרון הירוק"
"195","קדימה","107232","התפוז"
"195","קדימה","107233","חמנית"
"195","קדימה","177","סמ אבני סעדיה"
"195","קדימה","107589","דרך התות"
"195","קדימה","107590","האמירים"
"195","קדימה","233","העגור"
"195","קדימה","234","שדות"
"195","קדימה","242","ארגמן"
"195","קדימה","243","תכלת"
"195","קדימה","244","דישון"
"195","קדימה","245","דרך דוד בן גוריון"
"195","קדימה","246","לשם"
"195","קדימה","247","סמטת בן צבי"
"195","קדימה","248","סמטת היסמין"
"195","קדימה","249","עמק החולה"
"195","קדימה","282","בית הכרם"
"195","קדימה","283","ארבל"
"195","קדימה","284","שניר"
"195","קדימה","289","תמנע"
"195","קדימה","291","שבט ראובן"
"195","קדימה","292","שבט שמעון"
"195","קדימה","293","שבט בנימין"
"195","קדימה","295","שבט יששכר"
"195","קדימה","298","שבט אשר"
"195","קדימה","299","שבט זבולון"
"195","קדימה","300","שבט אפרים"
"195","קדימה","301","סמטת קפלן"
"195","קדימה","105416","שבט דן"
"195","קדימה","68","התאנה"
"195","קדימה","69","התפוח"
"195","קדימה","70","ויצמן"
"195","קדימה","71","וסרמן סופיה"
"195","קדימה","72","ז'בוטינסקי"
"195","קדימה","73","חנקין"
"195","קדימה","74","טהון יהושע"
"195","קדימה","75","יאנוש קורצ'אק"
"195","קדימה","76","יהושוע טהון"
"195","קדימה","77","יהושע חנקין"
"195","קדימה","78","יוספטל"
"195","קדימה","79","יקינטון"
"195","קדימה","80","כליל החורש"
"195","קדימה","81","כצנלסון"
"195","קדימה","82","מ""ג"
"195","קדימה","83","מורדי הגטאות"
"195","קדימה","84","מימון"
"195","קדימה","85","מנחם בגין"
"195","קדימה","86","מעלה שלמה"
"195","קדימה","87","סופיה וסרמן"
"195","קדימה","88","סמ' הפעמון"
"195","קדימה","89","סמטת האגוז"
"195","קדימה","90","הפעמון"
"195","קדימה","91","הפקאן"
"195","קדימה","92","סנפיר"
"195","קדימה","93","עמק יזראל"
"195","קדימה","94","רוזנבך"
"195","קדימה","95","רוטשילד"
"195","קדימה","96","רמז"
"195","קדימה","97","שבזי"
"195","קדימה","58","הקשת"
"195","קדימה","59","הרב הרצוג"
"195","קדימה","60","רותם"
"195","קדימה","61","הרצל"
"195","קדימה","62","הרקפת"
"195","קדימה","116","החצב"
"195","קדימה","117","השרון"
"195","קדימה","109","ההסתדרות"
"195","קדימה","110","הצבר"
"195","קדימה","111","שיקמים"
"195","קדימה","112","יונק הדבש"
"195","קדימה","118","הניצן"
"195","קדימה","127","הציפורים"
"195","קדימה","113","דוכיפת"
"195","קדימה","115","נחליאלי"
"195","קדימה","57","הציפורן"
"195","קדימה","106","האלמוגן"
"195","קדימה","108","הסביון"
"195","קדימה","126","העורב"
"195","קדימה","105223","שבט יהודה"
"195","קדימה","105377","שבט נפתלי"
"195","קדימה","274","סולד"
"195","קדימה","275","האורג"
"195","קדימה","272","אדום"
"195","קדימה","290","דרך היער"
"195","קדימה","285","יהלום"
"195","קדימה","286","ברקת"
"195","קדימה","287","ספיר"
"195","קדימה","288","שוהם"
"195","קדימה","107229","סמ רמז"
"195","קדימה","107230","ההדר"
"195","קדימה","107231","סמ הגן"
"195","קדימה","202","הפקאנים"
"195","קדימה","264","הנגב"
"195","קדימה","114","הורדים"
"195","קדימה","105","הרימון"
"195","קדימה","119","בשמת"
"195","קדימה","120","היובל"
"195","קדימה","121","הכלנית"
"195","קדימה","122","הרצוג"
"195","קדימה","123","הסחלב"
"195","קדימה","124","קשת"
"195","קדימה","98","החליל"
"195","קדימה","99","הנופר"
"195","קדימה","100","הצליל"
"195","קדימה","101","הרב יעקב כהן"
"195","קדימה","102","השיזף"
"195","קדימה","103","הדרור"
"195","קדימה","104","הגפן"
"195","קדימה","101348","המתכת"
"195","קדימה","26","הדובדבן"
"195","קדימה","27","הדולפין"
"195","קדימה","28","הדליה"
"195","קדימה","29","ההדס"
"195","קדימה","30","ההדרים"
"195","קדימה","31","הזמיר"
"195","קדימה","32","החוגלה"
"195","קדימה","33","החסידה"
"195","קדימה","34","החרוב"
"195","קדימה","35","הטווס"
"195","קדימה","36","היונה"
"195","קדימה","37","היסמין"
"195","קדימה","38","היען"
"195","קדימה","39","היערה"
"195","קדימה","40","הכינור"
"195","קדימה","41","הלבונה"
"195","קדימה","42","הלולב"
"195","קדימה","43","הלימון"
"195","קדימה","44","המיתר"
"195","קדימה","45","הנבל"
"195","קדימה","46","הנורית"
"195","קדימה","47","הנרקיס"
"195","קדימה","48","הנשר"
"195","קדימה","49","הסנונית"
"195","קדימה","50","העזניה"
"195","קדימה","51","העיט"
"195","קדימה","52","הערבה"
"195","קדימה","53","פלמ""ח"
"195","קדימה","54","הפרג"
"195","קדימה","55","הפשוש"
"195","קדימה","56","הצבעוני"
"195","קדימה","103556","הרב אברהם אביקסיס"
"195","קדימה","103964","הברושים"
"195","קדימה","103925","הזרם"
"195","קדימה","103291","משמר הירדן"
"195","קדימה","102980","הנגר"
"195","קדימה","103038","האופה"
"195","קדימה","103838","הגלעד"
"195","קדימה","100215","ההדסים"
"195","קדימה","104780","החרמון"
"195","קדימה","104842","דרך לב השרון"
"195","קדימה","103553","מירון"
"195","קדימה","104148","החשמל"
"195","קדימה","63","השושן"
"195","קדימה","64","השחף"
"195","קדימה","65","השיטה"
"195","קדימה","66","השלדג"
"195","קדימה","67","השקד"
"195","קדימה","137","האתרוג"
"195","קדימה","142","תדהר"
"195","קדימה","1","אחד העם"
"195","קדימה","146","הסיגלון"
"195","קדימה","148","המעלית"
"195","קדימה","131","האלונים"
"195","קדימה","132","לוע הארי"
"195","קדימה","133","הגליל"
"195","קדימה","143","סמטת ההדר"
"195","קדימה","2","אלי כהן"
"195","קדימה","3","אלקלעי"
"195","קדימה","4","ביאליק"
"195","קדימה","5","בן צבי"
"195","קדימה","6","בר יהודה"
"195","קדימה","141","מואב"
"195","קדימה","135","המור"
"195","קדימה","7","ברנר"
"195","קדימה","8","גד"
"195","קדימה","9","גורדון"
"195","קדימה","10","ד""ר יעקב שפירא"
"195","קדימה","11","האורן"
"195","קדימה","12","האיזדרכת"
"195","קדימה","13","האירוס"
"195","קדימה","14","האלה"
"195","קדימה","15","האלון"
"195","קדימה","16","האלמוג"
"195","קדימה","17","האנפה"
"195","קדימה","18","האפרסמון"
"195","קדימה","19","האקליפטוס"
"195","קדימה","138","סמדר"
"195","קדימה","151","היער"
"195","קדימה","130","כינרת"
"195","קדימה","144","הר נבו"
"195","קדימה","145","ויתקין"
"195","קדימה","128","הגולן"
"195","קדימה","25","הגלבוע"
"195","קדימה","136","אח""י דקר"
"195","קדימה","147","סמטת הדר"
"195","קדימה","149","שדרות הדקלים"
"195","קדימה","153","עדעד"
"195","קדימה","152","סמטת הברון"
"195","קדימה","154","אירוסים"
"195","קדימה","155","סמטת הגפנים"
"195","קדימה","156","ברושים"
"195","קדימה","157","חצבים"
"195","קדימה","158","חרובים"
"195","קדימה","159","נוריות"
"195","קדימה","160","סחלבים"
"195","קדימה","161","סמטת הפקאנים"
"195","קדימה","20","הארז"
"195","קדימה","21","האשכולית"
"195","קדימה","22","האשל"
"195","קדימה","23","הברבור"
"195","קדימה","24","הברוש"
"195","קדימה","162","צברים"
"195","קדימה","163","רקפות"
"195","קדימה","164","השקמים"
"195","קדימה","129","החבצלת"
"195","קדימה","139","ההגנה"
"195","קדימה","140","התבור"
"195","קדימה","150","תחנת דלק"
"195","קדימה","134","השומרון"
"195","קדימה","125","הערמונים"
"195","קדימה","107","הגומא"
"196","גיבתון","6","האם ובניה"
"196","גיבתון","7","יהודית"
"196","גיבתון","5","ללא רחוב"
"196","גיבתון","4","המייסדים"
"196","גיבתון","1","בן ישראל"
"196","גיבתון","2","ברזילי משה"
"196","גיבתון","3","העמדות"
"197","מעברות","100417","ללא רחוב"
"198","צופית","16","ללא רחוב"
"198","צופית","17","טשרניחובסקי"
"198","צופית","13","הגנים"
"198","צופית","14","הרימון"
"198","צופית","1","אילנות"
"198","צופית","2","הבאר"
"198","צופית","3","הדר"
"198","צופית","4","הזית"
"198","צופית","5","המצפה"
"198","צופית","6","המשעול"
"198","צופית","7","הקשת"
"198","צופית","8","השדרה"
"198","צופית","9","מעלה הגן"
"198","צופית","10","רינגלבלום"
"198","צופית","15","הדקל"
"198","צופית","11","הגפן"
"198","צופית","12","ברוש"
"199","אשדות יעקב איחוד","100538","ללא רחוב"
"200","בית ינאי","12","ללא רחוב"
"200","בית ינאי","11","מצפה ים"
"200","בית ינאי","1","אלמוג"
"200","בית ינאי","2","דולפין"
"200","בית ינאי","3","דקר"
"200","בית ינאי","4","הדסה"
"200","בית ינאי","5","הים"
"200","בית ינאי","6","הצוק"
"200","בית ינאי","7","השיטה"
"200","בית ינאי","8","חבצלת"
"200","בית ינאי","9","נר הלילה"
"200","בית ינאי","10","הרדוף"
"202","בית עובד","101044","ללא רחוב"
"204","אלישיב","101141","ללא רחוב"
"205","חגלה","1","חוגלה"
"206","רמות השבים","28","התות"
"206","רמות השבים","24","הדקל"
"206","רמות השבים","21","נווה צאלים"
"206","רמות השבים","22","סמטת הנוער"
"206","רמות השבים","23","סמטת העצב"
"206","רמות השבים","17","השקד"
"206","רמות השבים","18","התמר"
"206","רמות השבים","19","מג""ן"
"206","רמות השבים","20","משה שרת"
"206","רמות השבים","1","בית העם"
"206","רמות השבים","2","דרך הסולטן"
"206","רמות השבים","3","האלונים"
"206","רמות השבים","4","הבנים"
"206","רמות השבים","5","הברושים"
"206","רמות השבים","6","הבריכה"
"206","רמות השבים","7","הגבעה"
"206","רמות השבים","8","הורדים"
"206","רמות השבים","9","הירקנים"
"206","רמות השבים","10","הכרם"
"206","רמות השבים","11","המייסדים"
"206","רמות השבים","12","המעגל"
"206","רמות השבים","13","הפקאן"
"206","רמות השבים","14","הפרדס"
"206","רמות השבים","15","הצבר"
"206","רמות השבים","16","השמש העולה"
"206","רמות השבים","29","משאבים"
"206","רמות השבים","104005","דרך המלך"
"206","רמות השבים","103757","התרנגול"
"206","רמות השבים","25","הלימון"
"206","רמות השבים","26","סמ' אל על"
"206","רמות השבים","27","סמ' החצב"
"207","גבעת ח""ן","104414","מעבר לים"
"207","גבעת ח""ן","104415","תרזה יפה"
"207","גבעת ח""ן","101315","ללא רחוב"
"208","מוצא עילית","23","דב קלימקר"
"208","מוצא עילית","22","רמת מוצא"
"208","מוצא עילית","13","סמטת הברוש"
"208","מוצא עילית","14","סמטת החרוב"
"208","מוצא עילית","15","שבע אחיות"
"208","מוצא עילית","16","שדרות הראשונים"
"208","מוצא עילית","2","האלון"
"208","מוצא עילית","1","האלה"
"208","מוצא עילית","3","הארזים"
"208","מוצא עילית","4","הזית"
"208","מוצא עילית","5","הרימון"
"208","מוצא עילית","6","השקד"
"208","מוצא עילית","7","התפוח"
"208","מוצא עילית","8","מבוא הגפן"
"208","מוצא עילית","9","מבוא הלילך"
"208","מוצא עילית","10","מעלה האורן עליון"
"208","מוצא עילית","11","מעלה האורן תחתון"
"208","מוצא עילית","12","מעלה הארז"
"208","מוצא עילית","105029","ארזה"
"208","מוצא עילית","104512","האורן"
"208","מוצא עילית","104513","הארז"
"208","מוצא עילית","104514","מעון הרופא"
"208","מוצא עילית","17","אריה מקלף"
"208","מוצא עילית","18","המתנחלים בהר"
"208","מוצא עילית","21","מוצא הקטנה"
"208","מוצא עילית","19","מיכאל שטיינברג"
"208","מוצא עילית","20","שמואל ברוזה"
"212","בית צבי","101231","ללא רחוב"
"213","משמרות","101206","ללא רחוב"
"217","כפר הרא""ה","3","ללא רחוב"
"217","כפר הרא""ה","1","בית חזון"
"217","כפר הרא""ה","2","הראשונים"
"218","גני עם","8","ללא רחוב"
"218","גני עם","7","אקליפטוס"
"218","גני עם","9","יפה נוף"
"218","גני עם","6","בית העם"
"218","גני עם","1","הבנים"
"218","גני עם","2","יער"
"218","גני עם","3","הסביונים"
"218","גני עם","4","שירת השחרור"
"218","גני עם","5","ירוק עד"
"218","גני עם","104482","הצבעוני"
"219","חיבת ציון","5","ללא רחוב"
"219","חיבת ציון","1","אודים"
"219","חיבת ציון","2","דרור"
"219","חיבת ציון","3","הראשונים"
"219","חיבת ציון","4","מגשימים"
"220","כפר ביאליק","1","אושה"
"220","כפר ביאליק","2","ביאליק"
"220","כפר ביאליק","3","הגורן"
"220","כפר ביאליק","4","כלניות"
"220","כפר ביאליק","7","החקלאים"
"220","כפר ביאליק","8","גיאורג לנדאואר"
"220","כפר ביאליק","9","הנרייטה סולד"
"220","כפר ביאליק","5","מיכאל איינשטיין"
"220","כפר ביאליק","6","עמיהוד"
"223","עין עירון","101208","ללא רחוב"
"224","שושנת העמקים-רסקו","5","ההדר"
"224","שושנת העמקים-רסקו","1","אמנון ותמר"
"224","שושנת העמקים-רסקו","2","הדקל"
"224","שושנת העמקים-רסקו","3","האשל"
"224","שושנת העמקים-רסקו","4","החוף"
"225","גן השומרון","2","ללא רחוב"
"225","גן השומרון","1","כרכור"
"229","גני תקווה","147","רחבת אלון"
"229","גני תקווה","148","רחבת ברוש"
"229","גני תקווה","149","רחבת גונן"
"229","גני תקווה","150","רחבת דולב"
"229","גני תקווה","164","דרך התקווה"
"229","גני תקווה","136","האקליפטוס"
"229","גני תקווה","213","הברוש"
"229","גני תקווה","166","דרך העמק"
"229","גני תקווה","167","סמטת יובלים"
"229","גני תקווה","143","דרך התמרים"
"229","גני תקווה","108","שדרת התקוות"
"229","גני תקווה","51","האגמים"
"229","גני תקווה","50","דרך האיילות"
"229","גני תקווה","49","דרך הים"
"229","גני תקווה","53","דרך המלך"
"229","גני תקווה","52","תל חי"
"229","גני תקווה","2","בארי"
"229","גני תקווה","3","בית שאן"
"229","גני תקווה","4","בקעת הירדן"
"229","גני תקווה","5","גבעון"
"229","גני תקווה","6","דביר"
"229","גני תקווה","7","דגניה"
"229","גני תקווה","8","הגולן"
"229","גני תקווה","9","הגליל"
"229","גני תקווה","10","הגפן"
"229","גני תקווה","11","החולה"
"229","גני תקווה","12","החרמון"
"229","גני תקווה","13","המצפה"
"229","גני תקווה","14","הנגב"
"229","גני תקווה","15","הנחל"
"229","גני תקווה","16","העמקים"
"229","גני תקווה","17","הערבה"
"229","גני תקווה","19","הקישון"
"229","גני תקווה","20","הר סיני"
"229","גני תקווה","21","הרי יהודה"
"229","גני תקווה","22","הרמה"
"229","גני תקווה","23","השרון"
"229","גני תקווה","24","זאב"
"229","גני תקווה","55","סמטת הלבונה"
"229","גני תקווה","1","האורנים"
"229","גני תקווה","54","קדושת יום טוב"
"229","גני תקווה","46","הגלעד"
"229","גני תקווה","18","הפסגה"
